zip,num_interviews
0000,1
01001,2
01002,2
01003,1
01007,1
01013,1
01028,1
01040,3
01057,2
01069,1
01073,1
01074,1
01082,1
01083,1
01095,1
01105,1
01109,1
01201,1
01220,1
01331,9
01420,13
01432,1
01436,1
01440,5
01450,5
01453,12
01460,1
01462,1
01463,4
01468,2
01469,1
01473,2
01475,3
01501,1
01503,2
01504,1
01506,2
01507,1
01510,2
01516,1
01519,1
01520,5
01523,1
01524,4
01527,1
01532,4
01534,5
01535,2
01536,2
01537,1
01540,3
01542,1
01543,1
01545,7
01550,6
01560,1
01562,3
01566,1
01568,4
01569,4
01570,7
01581,2
01583,2
01588,2
01590,2
01601,5
01602,11
01603,4
01604,9
01605,5
01606,5
01607,3
01609,6
01610,5
01701,2
01702,5
01719,1
01720,1
01721,4
01730,4
01740,2
01742,2
01745,1
01746,2
01748,2
01749,12
01752,13
01754,7
01755,1
01756,1
01757,6
01760,4
01775,1
01776,2
01801,11
01803,4
01810,13
01821,6
01824,12
01826,12
01827,2
01830,7
01832,2
01833,2
01834,5
01835,2
01841,2
01843,6
01844,9
01845,4
01850,13
01851,5
01852,7
01854,10
01862,7
01863,1
01864,1
01865,3
01867,10
01876,9
01879,6
01880,8
01886,2
01887,5
01890,4
01902,7
01903,1
01904,2
01905,4
01906,2
01907,4
01913,3
01915,14
01923,8
01930,6
01938,1
01945,6
01949,1
01950,11
01952,1
01960,5
01966,1
01970,8
01983,1
02019,2
02021,3
02025,1
02026,3
02035,11
02038,8
02043,4
02045,1
02048,2
02050,3
02052,6
02053,5
02062,6
02066,1
02067,3
02072,17
02081,3
02090,1
02108,7
02109,1
02110,2
02111,11
02113,1
02114,2
02115,3
02116,16
02118,11
02119,5
02120,12
02121,5
02122,2
02124,13
02125,14
02126,2
02127,8
02128,1
02129,11
02130,9
02131,9
02132,9
02133,1
02134,16
02135,16
02136,8
02138,7
02139,9
02140,4
02141,6
02142,1
02143,9
02144,6
02145,10
02148,27
02149,6
02150,10
02151,10
02152,8
02155,14
02169,14
02170,1
02171,3
02176,6
02180,5
02184,9
02186,2
02188,8
02189,8
02190,1
02191,1
02199,1
02210,2
02215,6
02301,21
02302,14
02303,1
02304,1
02322,1
02324,6
02332,1
02333,1
02338,2
02339,1
02341,3
02343,6
