zip,num_interviews
01001,2
01002,1
01003,1
01007,1
01013,1
01028,1
01040,3
01057,2
01073,1
01082,1
01083,1
01095,1
01331,6
01420,7
01440,2
01450,3
01453,4
01460,1
01463,3
01468,1
01469,1
01473,2
01475,2
01503,1
01504,1
01506,1
01507,1
01510,1
01520,2
01523,1
01524,2
01527,1
01532,1
01534,2
01535,1
01536,2
01540,1
01542,1
01545,5
01550,4
01562,2
01566,1
01568,4
01569,2
01570,5
01581,1
01583,1
01588,2
01590,2
01601,2
01602,3
01603,4
01604,6
01605,2
01606,4
01607,1
01609,6
01610,4
01701,1
01702,5
01719,1
01721,2
01740,1
01742,1
01745,1
01746,2
01748,1
01749,10
01752,8
01754,5
01755,1
01757,4
01760,4
01776,2
01801,4
01803,2
01810,8
01821,2
01824,10
01826,8
01827,2
01830,6
01832,1
01833,1
01834,2
01835,2
01841,1
01843,4
01844,5
01845,2
01850,8
01851,3
01852,5
01854,8
01862,6
01863,1
01864,1
01865,3
01867,6
01876,6
01879,4
01880,6
01890,3
01902,4
01903,1
01904,2
01905,2
01907,3
01913,1
01915,7
01923,7
01930,5
01938,1
01945,5
01950,5
01960,3
01970,2
02019,1
02021,1
02026,3
02035,8
02038,5
02043,3
02048,1
02050,1
02052,4
02053,4
02062,4
02066,1
02067,2
02072,8
02081,1
02090,1
02108,1
02109,1
02110,2
02111,8
02114,1
02115,1
02116,13
02118,8
02119,3
02120,7
02121,2
02122,2
02124,8
02125,10
02127,5
02128,1
02129,4
02130,7
02131,7
02132,5
02133,1
02134,3
02135,11
02136,4
02138,3
02139,7
02140,4
02141,5
02142,1
02143,9
02144,4
02145,3
02148,17
02149,3
02150,7
02151,6
02152,3
02155,7
02169,8
02170,1
02171,3
02176,6
02180,4
02184,4
02186,2
02188,8
02189,5
02190,1
02210,2
02215,3
02301,11
02302,8
02303,1
02304,1
02322,1
02324,2
02332,1
02338,1
02339,1
02341,1
02343,3
02345,1
02346,2
02351,1
02356,1
02359,1
02360,10
02364,2
