zip,num_interviews
01001,1
01003,1
01007,1
01013,1
01028,1
01040,3
01057,1
01073,1
01082,1
01083,1
01331,4
01420,6
01440,1
01450,3
01453,2
01463,3
01469,1
01473,2
01475,2
01504,1
01506,1
01510,1
01520,2
01523,1
01524,2
01534,1
01535,1
01536,1
01542,1
01545,4
01550,3
01562,2
01566,1
01568,2
01569,1
01570,4
01581,1
01583,1
01588,1
01590,1
01601,1
01602,3
01603,3
01604,5
01605,2
01606,3
01609,5
01610,1
01702,5
01719,1
01721,2
01740,1
01745,1
01746,2
01748,1
01749,7
01752,6
01754,2
01755,1
01757,4
01760,3
01801,2
01803,1
01810,5
01821,1
01824,5
01826,4
01827,2
01830,1
01832,1
01833,1
01834,1
01841,1
01843,2
01844,5
01845,1
01850,6
01851,1
01852,3
01854,5
01862,3
01863,1
01864,1
01865,3
01867,3
01876,4
01879,1
01880,5
01890,3
01902,1
01904,2
01905,1
01907,3
01915,4
01923,5
01930,3
01938,1
01950,4
01960,3
01970,2
02026,3
02035,4
02038,4
02043,2
02048,1
02050,1
02052,3
02053,4
02062,3
02066,1
02067,1
02072,6
02081,1
02111,7
02116,7
02118,7
02119,1
02120,6
02121,1
02122,2
02124,5
02125,9
02127,4
02128,1
02129,3
02130,4
02131,6
02132,2
02134,2
02135,10
02136,4
02138,2
02139,5
02140,3
02141,4
02142,1
02143,8
02144,2
02145,2
02148,11
02149,3
02150,5
02151,4
02152,1
02155,4
02169,7
02170,1
02171,2
02176,4
02180,3
02184,3
02186,2
02188,5
02189,4
02190,1
02210,2
02215,2
02301,9
02302,5
02303,1
02324,2
02332,1
02338,1
02339,1
02343,3
02346,1
02351,1
02356,1
02359,1
02360,8
02364,2
02368,3
02370,1
02379,2
02382,1
02420,1
02421,2
02445,2
02446,2
02457,1
02458,2
02459,3
02460,1
02467,4
02468,1
02472,5
02476,1
02478,3
02481,2
02482,1
02492,4
02493,1
02494,2
02532,1
02536,2
02538,1
02539,1
02540,1
02542,1
02563,2
02601,2
02631,1
02633,1
02639,1
02642,1
02649,2
02653,1
02675,1
02703,1
02721,1
02724,1
02726,1
02740,1
02760,2
02762,1
02770,1
02771,1
02790,1
02802,1
02878,1
02885,1
02888,1
02895,1
02903,1
02905,1
02906,1
02907,1
03033,1
03038,4
03044,1
03045,2
03046,1
03051,3
03054,1
03055,1
03060,2
03062,2
03063,1
03076,3
03077,1
03079,2
03087,2
03101,2
03102,4
03103,1
03104,2
03106,3
03108,1
03109,4
03226,1
03234,1
03244,1
03246,5
03261,2
03264,1
03268,1
03301,5
03431,3
03443,1
03446,1
03449,1
03465,1
03467,1
03582,1
03801,1
03811,1
03819,1
03820,2
03824,2
03826,2
03835,1
03851,1
03852,1
03857,3
03861,1
03865,1
03867,4
03874,1
03885,1
03908,1
04071,1
04348,1
04401,1
04462,1
04910,1
05143,1
05262,1
05301,1
05356,1
05478,1
05488,1
05641,1
05676,1
06001,1
06032,1
06040,1
06042,1
06043,1
06053,1
06070,1
06082,1
06106,1
06114,1
06118,1
06239,1
06255,1
06339,1
06360,1
06405,1
06457,2
06469,1
06478,1
06482,1
06484,4
06489,1
06498,1
06511,2
06512,2
06514,1
06516,1
06518,1
06604,1
06606,1
06611,3
06614,1
06706,1
06716,1
06759,1
06810,1
06824,1
06850,1
06851,2
06854,1
06870,1
06880,1
06906,1
07002,2
07005,1
07006,1
07008,1
07010,1
07011,1
07014,1
07016,2
07017,2
07018,1
07020,1
07024,1
07029,2
07030,2
07036,2
07039,1
07040,1
07043,1
07045,1
07046,1
07052,1
07054,1
07055,2
07059,1
07060,1
07065,1
07067,1
07070,2
07071,1
07079,1
07080,1
07082,1
07083,5
07086,1
07087,2
07090,4
07093,1
07095,1
07102,1
07104,1
07108,4
07109,2
07110,1
07111,2
07112,1
07114,1
07202,3
07203,1
07208,2
07302,3
07304,2
07305,2
07405,1
07407,1
07419,1
07422,1
07424,1
07436,2
07438,1
07442,2
07444,1
07446,3
07461,2
07462,2
07463,1
07470,2
07501,3
07506,1
07601,8
07603,2
07620,1
07621,1
07631,3
07640,1
07642,2
07644,2
07646,2
07649,1
07652,4
07657,1
07660,1
07661,1
07675,2
07676,2
07712,1
07726,4
07728,3
07730,1
07731,1
07733,2
07734,1
07735,2
07738,2
07747,1
07748,2
07758,1
07760,1
07801,1
07821,1
07823,1
07826,1
07839,2
07855,1
07856,1
07863,1
07865,1
07866,5
07869,1
07871,2
07874,1
07885,1
07920,2
07927,1
07928,3
07930,1
07933,1
07945,1
07960,2
07963,1
07974,1
08003,5
08012,4
08015,1
08016,1
08021,6
08028,3
08029,2
08030,1
08034,1
08037,3
08043,1
08048,1
08051,1
08052,3
08053,4
08054,12
08055,2
08056,1
08059,1
08060,3
08061,1
08062,3
08065,1
08066,1
08069,1
08070,2
08077,4
08080,1
08081,3
08083,1
08085,1
08089,1
08090,1
08094,1
08095,2
08096,6
08097,1
08098,1
08103,2
08104,2
08108,2
08109,2
08201,1
08203,1
08204,1
08205,1
08210,1
08225,1
08226,1
08234,3
08260,4
08302,2
08311,1
08318,1
08322,1
08323,1
08330,1
08360,1
08361,1
08401,7
08502,1
08505,1
08518,1
08520,1
08527,1
08534,2
08536,1
08542,1
08544,1
08550,1
08560,3
08601,1
08610,1
08619,3
08620,2
08628,5
08629,1
08648,2
08691,1
08701,1
08721,1
08723,2
08736,1
08752,1
08753,2
08757,1
08758,1
08759,3
08805,1
08807,2
08812,1
08816,4
08817,3
08820,1
08830,5
08831,4
08833,1
08835,2
08840,2
08844,1
08846,1
08850,2
08854,2
08859,3
08861,1
08865,1
08872,1
08873,3
08884,1
08901,3
08904,1
10001,18
10002,10
10003,5
10004,4
10005,2
10006,1
10007,2
10009,40
10010,2
10011,21
10012,1
10013,5
10014,5
10016,3
10017,1
10019,4
10020,1
10021,4
10022,11
10023,2
10024,2
10025,5
10026,2
10027,10
10028,4
10029,8
10030,1
10031,6
10032,5
10033,4
10034,3
10035,2
10036,9
10037,1
10039,2
10065,3
10075,2
10111,1
10116,6
10128,2
10280,1
10301,1
10305,1
10306,3
10308,3
10312,3
10314,4
10451,2
10452,1
10453,2
10454,1
10455,2
10456,4
10457,2
10458,1
10459,1
10460,1
10461,6
10462,2
10463,2
10465,3
10466,4
10467,1
10468,1
10471,1
10472,1
10473,1
10475,1
10514,1
10528,1
10538,1
10541,1
10546,1
10547,1
10549,1
10567,2
10573,2
10583,1
10604,1
10701,1
10704,1
10708,1
10710,1
10804,2
10954,2
10960,1
10962,1
10987,1
10989,2
10994,1
11001,2
11003,2
11004,1
11005,1
11010,2
11021,1
11040,3
11050,1
11078,1
11101,2
11102,1
11103,2
11104,1
11201,9
11203,5
11204,3
11205,5
11207,2
11208,4
11209,3
11211,3
11212,5
11213,2
11214,5
11216,1
11218,2
11219,1
11220,6
11221,1
11222,5
11223,5
11224,2
11225,1
11226,3
11229,2
11230,3
11233,2
11234,3
11235,2
11236,1
11238,4
11249,4
11252,1
11354,2
11355,6
11356,1
11357,4
11358,2
11361,2
11363,1
11364,3
11367,2
11368,1
11373,3
11374,2
11375,4
11377,3
11378,1
11379,2
11385,3
11411,1
11414,3
11416,1
11418,3
11419,2
11422,1
11427,1
11429,1
11432,3
11434,5
11501,3
11516,1
11530,1
11542,1
11550,1
11552,3
11553,1
11554,3
11557,1
11558,1
11561,2
11566,2
11568,1
11572,3
11580,2
11691,2
11693,1
11701,1
11703,1
11704,3
11706,2
11713,2
11714,1
11716,1
11717,3
11719,1
11722,1
11724,1
11726,2
11727,2
11735,1
11738,1
11741,1
11743,3
11753,2
11755,2
11756,2
11757,2
11758,2
11762,1
11768,1
11777,2
11778,2
11779,2
11782,3
11784,3
11786,1
11788,1
11790,1
11791,1
11793,2
11795,2
11796,1
11801,2
11803,1
11804,1
11931,1
11933,1
11937,1
11949,1
11955,1
11967,2
12043,1
12062,1
12123,1
12180,1
12184,1
12203,1
12211,1
12306,1
12307,1
12308,1
12309,1
12345,3
12412,1
12456,1
12504,1
12515,1
12524,1
12525,1
12538,1
12549,1
12550,3
12553,1
12561,1
12566,1
12571,1
12575,1
12589,2
12590,1
12701,1
12754,2
12803,1
12832,2
13021,1
13027,1
13045,1
13069,1
13101,1
13108,1
13126,1
13202,1
13329,1
13413,1
13420,1
13440,2
13601,1
13662,2
13796,1
13904,1
14001,1
14063,2
14072,1
14120,2
14150,1
14204,1
14207,1
14210,1
14215,1
14216,1
14221,1
14226,1
14450,1
14469,1
14513,1
14526,1
14606,2
14609,1
14620,1
14624,1
14701,1
14760,1
14830,1
14850,1
14901,1
15010,1
15044,2
15102,1
15143,1
15216,1
15221,2
15226,1
15239,2
15243,2
15522,1
15557,1
15628,1
15668,1
15909,1
15963,1
16066,1
16105,1
16148,1
16301,1
16335,1
16354,1
16407,1
16602,1
16701,1
16803,1
16901,1
17042,2
17047,1
17055,2
17081,1
17110,1
17112,1
17236,1
17315,1
17316,1
17362,1
17403,1
17512,1
17543,4
17601,1
17603,2
17701,2
17901,2
17921,1
17948,1
17970,1
17976,1
18011,1
18013,1
18015,5
18017,2
18018,3
18020,5
18031,1
18036,1
18040,1
18042,4
18044,1
18045,1
18049,2
18052,1
18056,1
18058,1
18064,3
18067,3
18080,1
18101,1
18102,4
18103,4
