zip,num_interviews
01001,1
01003,1
01040,2
01057,1
01073,1
01083,1
01331,1
01420,4
01450,2
01453,2
01463,3
01469,1
01473,1
01475,2
01504,1
01510,1
01534,1
01535,1
01536,1
01545,3
01550,1
01562,1
01566,1
01568,2
01570,2
01581,1
01583,1
01588,1
01601,1
01602,2
01603,2
01604,2
01605,2
01606,3
01609,2
01610,1
01702,5
01721,1
01740,1
01745,1
01746,1
01749,2
01752,5
01754,2
01755,1
01757,2
01760,1
01801,1
01803,1
01810,2
01821,1
01824,1
01826,2
01827,2
01830,1
01832,1
01834,1
01843,2
01844,1
01850,4
01851,1
01852,2
01854,4
01862,1
01863,1
01865,1
01867,3
01876,4
01879,1
01880,3
01890,3
01902,1
01904,2
01905,1
01907,1
01923,4
01930,2
01950,4
01960,2
01970,2
02026,2
02035,3
02038,3
02048,1
02050,1
02052,3
02053,4
02062,2
02066,1
02067,1
02072,3
02111,6
02116,3
02118,6
02119,1
02120,6
02122,2
02124,4
02125,5
02127,3
02130,3
02131,5
02132,2
02134,2
02135,6
02136,1
02138,2
02139,2
02140,2
02141,2
02142,1
02143,6
02144,1
02145,1
02148,5
02149,2
02150,3
02151,4
02152,1
02155,4
02169,3
02170,1
02171,2
02176,3
02180,2
02184,3
02186,1
02188,3
02189,2
02190,1
02210,1
02215,2
02301,7
02302,3
02303,1
02324,1
02332,1
02338,1
02339,1
02343,1
02346,1
02351,1
02359,1
02360,6
02364,1
02368,2
02379,1
02420,1
02421,1
02445,1
02446,1
02458,2
02459,1
02460,1
02467,4
02468,1
02472,1
02478,2
02481,1
02492,3
02493,1
02494,1
02532,1
02536,2
02538,1
02539,1
02542,1
02563,1
02601,2
02649,2
02675,1
02721,1
02724,1
02726,1
02760,1
02770,1
02771,1
02790,1
02802,1
02878,1
02888,1
02895,1
02903,1
02905,1
02906,1
02907,1
03033,1
03038,3
03044,1
03045,2
03046,1
03051,1
03060,2
03062,1
03079,1
03087,2
03101,1
03102,3
03104,1
03106,2
03109,2
03244,1
03246,1
03261,1
03264,1
03301,4
03431,1
03443,1
03446,1
03582,1
03801,1
03811,1
03819,1
03820,2
03824,1
03835,1
03851,1
03852,1
03857,1
03861,1
03865,1
03867,2
03908,1
04071,1
04348,1
04401,1
05143,1
05262,1
05301,1
05356,1
05641,1
06001,1
06032,1
06040,1
06042,1
06043,1
06053,1
06082,1
06114,1
06118,1
06239,1
06339,1
06360,1
06405,1
06457,1
06478,1
06484,2
06498,1
06511,2
06512,1
06514,1
06518,1
06604,1
06606,1
06611,3
06614,1
06706,1
06716,1
06759,1
06810,1
06850,1
06851,2
06854,1
06870,1
06880,1
07002,1
07005,1
07010,1
07014,1
07016,2
07017,2
07018,1
07029,1
07030,2
07036,2
07040,1
07046,1
07052,1
07054,1
07055,2
07065,1
07067,1
07070,1
07071,1
07079,1
07080,1
07082,1
07083,3
07087,1
07090,1
07093,1
07095,1
07102,1
07108,3
07109,1
07110,1
07111,2
07112,1
07114,1
07202,3
07203,1
07208,1
07302,3
07304,2
07305,1
07405,1
07407,1
07419,1
07422,1
07424,1
07436,2
07438,1
07442,2
07444,1
07446,3
07461,1
07462,2
07470,2
07501,3
07601,4
07603,2
07620,1
07621,1
07631,3
07640,1
07642,2
07646,1
07649,1
07652,4
07657,1
07660,1
07661,1
07676,1
07726,2
07728,1
07731,1
07733,2
07734,1
07735,2
07738,1
07747,1
07758,1
07760,1
07801,1
07823,1
07826,1
07839,2
07855,1
07856,1
07863,1
07865,1
07866,4
07869,1
07871,1
07885,1
07920,2
07927,1
07928,2
07933,1
07945,1
08003,2
08012,3
08015,1
08021,5
08028,2
08029,1
08030,1
08037,3
08043,1
08048,1
08051,1
08052,3
08053,3
08054,3
08055,1
08059,1
08060,1
08061,1
08062,1
08065,1
08070,1
08077,3
08081,2
08085,1
08089,1
08095,1
08096,3
08098,1
08103,1
08108,1
08109,1
08205,1
08210,1
08225,1
08234,2
08260,3
08302,1
08311,1
08318,1
08323,1
08330,1
08360,1
08401,3
08520,1
08527,1
08542,1
08560,1
08610,1
08620,1
08628,4
08691,1
08701,1
08721,1
08723,2
08753,1
08759,1
08805,1
08807,1
08816,2
08817,2
08820,1
08830,4
08831,3
08833,1
08835,2
08840,1
08846,1
08850,1
08859,2
08861,1
08865,1
08872,1
08873,1
08901,2
10001,9
10002,9
10003,2
10004,1
10005,2
10006,1
10007,1
10009,24
10010,2
10011,11
10012,1
10013,2
10014,3
10016,2
10017,1
10019,2
10020,1
10021,1
10022,10
10023,1
10024,2
10025,4
10027,5
10028,3
10029,6
10030,1
10031,3
10033,1
10034,2
10035,1
10036,5
10037,1
10039,1
10075,1
10111,1
10116,3
10128,2
10301,1
10305,1
10306,3
10308,2
10312,3
10314,3
10451,2
10452,1
10453,1
10454,1
10455,2
10456,2
10457,1
10458,1
10459,1
10460,1
10461,4
10462,1
10463,2
10465,1
10466,4
10468,1
10471,1
10472,1
10473,1
10475,1
10514,1
10528,1
10538,1
10541,1
10546,1
10547,1
10549,1
10567,2
10573,1
10583,1
10604,1
10701,1
10708,1
10710,1
10804,1
10954,1
10960,1
10987,1
11003,1
11004,1
11005,1
11010,2
11040,2
11050,1
11078,1
11101,1
11102,1
11103,2
11201,3
11203,4
11204,2
11205,2
11208,3
11211,2
11212,4
11213,2
11214,3
11216,1
11218,2
11219,1
11220,4
11221,1
11222,3
11223,2
11225,1
11226,3
11229,2
11230,3
11233,1
11235,2
11236,1
11238,3
11249,1
11252,1
11354,2
11355,3
11356,1
11357,4
11358,2
11361,1
11364,2
11367,1
11368,1
11373,2
11374,1
11375,1
11377,2
11379,2
11385,3
11411,1
11414,2
11418,1
11422,1
11427,1
11432,2
11434,3
11530,1
11550,1
11552,3
11558,1
11561,1
11566,2
11572,3
11580,2
11691,1
11703,1
11704,3
11706,2
11713,2
11717,2
11719,1
11722,1
11726,1
11727,1
11735,1
11738,1
11741,1
11743,1
11753,2
11756,1
11757,2
11758,1
11762,1
11777,1
11778,2
11779,2
11782,2
11786,1
11790,1
11791,1
11793,2
11795,1
11801,1
11803,1
11804,1
11931,1
11933,1
11937,1
11949,1
11955,1
11967,1
12043,1
12062,1
12123,1
12180,1
12184,1
12203,1
12211,1
12306,1
12307,1
12308,1
12309,1
12345,1
12456,1
12504,1
12515,1
12524,1
12549,1
12550,3
12561,1
12571,1
12575,1
12589,1
12590,1
12754,1
12803,1
13021,1
13027,1
13045,1
13069,1
13101,1
13202,1
13329,1
13413,1
13420,1
13440,1
13601,1
13662,1
13796,1
13904,1
14063,1
14072,1
14120,1
14210,1
14215,1
14216,1
14221,1
14450,1
14469,1
14609,1
14624,1
14701,1
14760,1
14830,1
14850,1
14901,1
15010,1
15044,1
15102,1
15143,1
15239,2
15522,1
15557,1
15628,1
15668,1
15963,1
16066,1
16148,1
16301,1
16354,1
16407,1
16602,1
16701,1
17055,1
17112,1
17236,1
17315,1
17316,1
17362,1
17512,1
17543,4
17601,1
17603,2
17701,1
17901,1
17948,1
17970,1
18011,1
18015,2
18017,2
18018,2
18020,4
18031,1
18042,4
18044,1
18045,1
18049,2
18052,1
18058,1
18064,1
18080,1
18102,3
18103,3
18104,1
18109,1
18324,1
18337,1
18510,1
18707,1
18901,1
18914,1
18923,1
18925,1
18940,1
18944,2
18951,1
18966,2
18969,1
18974,1
18976,2
19001,1
19002,1
19003,2
19006,2
19007,4
19008,1
19013,3
19014,1
19019,3
19020,3
19021,1
19031,1
19033,2
19043,1
19044,2
19053,2
19056,1
19061,2
19063,1
19067,2
19073,1
19074,1
19082,1
19083,1
19087,1
19090,1
19096,2
19104,2
19107,1
19111,3
19116,1
19118,1
19119,1
19120,1
19121,1
19123,1
19125,3
19127,1
19128,2
19131,3
19132,1
19133,1
19134,3
19135,2
19136,3
19138,1
19139,1
19140,2
19141,1
19143,1
19145,5
19147,3
19148,2
19152,2
19154,2
19335,1
19341,1
19342,1
19365,1
19382,2
19401,1
19403,1
19406,2
19422,1
19425,1
19426,1
19440,1
19446,3
19454,1
19460,1
19464,1
19465,2
19473,2
19480,1
19510,1
19525,2
19560,1
19602,1
19606,2
19607,1
19611,1
19612,1
19701,3
19702,1
19711,4
19713,2
19720,3
19734,1
19801,1
19803,1
19804,2
19805,1
19808,1
19809,1
19810,1
1987,1
19901,2
19904,2
19933,1
19943,1
19977,2
20002,1
20007,1
20009,1
20011,1
20016,1
20018,1
20020,2
20032,1
20109,1
20110,1
20111,1
20121,2
20147,3
20148,2
20149,1
20164,2
20170,2
20176,1
20191,1
20602,1
20657,1
20705,1
20707,1
20712,1
20721,1
20723,1
20745,1
20770,1
20783,1
20784,1
20877,1
20903,1
20910,1
21022-1372,1
21030,1
21044,1
21060,1
21074,1
21075,1
21078,1
21085,1
21122,1
21157,1
21201,1
21202,1
21206,1
21207,1
21215,1
21221,2
21222,1
21234,1
21237,2
21239,1
21740,1
21871,1
22015,1
22030,1
22031,2
22042,1
22193,1
22201,1
22206,1
22209,1
22211,1
22308,1
22314,1
22482,1
22514,1
22546,1
22572,1
22655,1
22701,1
22911,1
23005,1
23059,1
23111,1
23225,1
23226,1
23229,1
23231,2
23320,1
23451,2
23453,1
23464,1
23505,1
23601,3
23822,1
23831,1
23836,1
23964,1
24013,1
24112,2
24151,1
